"search-number","evaluation","exploration-probability*","exploration-radius*","fitness","num-replicates","best-fitness-so-far","best-fitness-rechecked"
"1","84","0.05","1.8","652557.4252125901","3","661072.2846632702","665907.8906106835"
"1","87","0.39","6.54","481790.3447362655","3","661072.2846632702","665907.8906106835"
"1","90","0.01","7.7700000000000005","652033.1964575262","3","661072.2846632702","665907.8906106835"
"1","93","0.11","8.56","567963.1512449175","3","661072.2846632702","665907.8906106835"
"1","96","0.3","6.75","495296.13728301314","3","661072.2846632702","665907.8906106835"
"1","99","0.88","5.47","466860.8991579742","3","661072.2846632702","665907.8906106835"
"1","102","0.67","9.48","467657.4941544004","3","661072.2846632702","665907.8906106835"
"1","105","0.21","6.69","513930.1949982348","3","661072.2846632702","665907.8906106835"
"1","108","0.14","2.31","534199.5833148105","3","661072.2846632702","665907.8906106835"
"1","111","0.46","10.28","474478.29779897776","3","661072.2846632702","665907.8906106835"
"1","114","0.64","3.58","470269.40184948867","3","661072.2846632702","665907.8906106835"
"1","117","0.9400000000000001","6.24","464174.0948013876","3","661072.2846632702","665907.8906106835"
"1","120","0.19","7.91","519326.3339195081","3","661072.2846632702","665907.8906106835"
"1","123","0.16","4.92","537237.0620170155","3","661072.2846632702","665907.8906106835"
"1","126","0.97","10.33","464652.9389114723","3","661072.2846632702","665907.8906106835"
"1","129","0.76","6.57","467709.79505669436","3","661072.2846632702","665907.8906106835"
"1","132","1","5.38","459786.1368377148","3","661072.2846632702","665907.8906106835"
"1","135","0.86","6.76","464432.15160572267","3","661072.2846632702","665907.8906106835"
"1","138","0.51","3.59","474787.9358301505","3","661072.2846632702","665907.8906106835"
"1","141","1","1.94","455080.7701054973","3","661072.2846632702","665907.8906106835"
"1","144","0.97","6.92","463575.8103363658","3","661072.2846632702","665907.8906106835"
"1","147","0.34","2.5700000000000003","490909.7656302105","3","661072.2846632702","665907.8906106835"
"1","150","0.86","8.350000000000001","465521.42098720063","3","661072.2846632702","665907.8906106835"
"1","153","0.15","1.8","529312.5749437752","3","661072.2846632702","665907.8906106835"
"1","156","0.05","4.26","688715.929507864","3","688715.929507864","701357.710298951"
"1","159","0.1","10.32","594803.368893545","3","688715.929507864","701357.710298951"
"1","162","0.07","7.16","662203.584497159","3","688715.929507864","701357.710298951"
"1","165","0.14","10.790000000000001","549786.0103464246","3","688715.929507864","701357.710298951"
"1","168","0.01","7.74","610960.9202887366","3","688715.929507864","701357.710298951"
"1","171","0.4","6.54","482384.77827870887","3","688715.929507864","701357.710298951"
"1","174","0.07","5.12","658842.150851638","3","688715.929507864","701357.710298951"
"1","177","0.81","6.75","465818.4057474911","3","688715.929507864","701357.710298951"
"1","180","0.13","10.89","555256.5712970612","3","688715.929507864","701357.710298951"
"1","183","0.5","4.92","475095.6748027853","3","688715.929507864","701357.710298951"
"1","186","0.37","4.4","486005.08518563776","3","688715.929507864","701357.710298951"
"1","189","0.13","1.34","548496.1876461153","3","688715.929507864","701357.710298951"
"1","192","0.09","10.39","611398.4686639946","3","688715.929507864","701357.710298951"
"1","195","0.05","7.74","724316.9030963279","3","724316.9030963279","730494.8535998913"
"1","198","0.01","1.8","352370.16583367024","3","724316.9030963279","730494.8535998913"
"1","201","0.14","10.41","547381.7896904108","3","724316.9030963279","730494.8535998913"
"1","204","0.1","10.8","598786.0422657226","3","724316.9030963279","730494.8535998913"
"1","207","0.41000000000000003","9.98","478594.94751795754","3","724316.9030963279","730494.8535998913"
"1","210","0.19","9.58","516337.7479961648","3","724316.9030963279","730494.8535998913"
"1","213","0.46","6.44","479076.4855770863","3","724316.9030963279","730494.8535998913"
"1","216","0.25","10.38","497246.28336465894","3","724316.9030963279","730494.8535998913"
"1","219","0.18","6.75","526811.9250694959","3","724316.9030963279","730494.8535998913"
"1","222","0.28","4.66","498596.9217462448","3","724316.9030963279","730494.8535998913"
"1","225","0.14","6.68","563317.3738501159","3","724316.9030963279","730494.8535998913"
"1","228","0.05","6.68","739217.2583516798","3","739217.2583516798","723782.9596914296"
"1","231","0.21","1.81","517853.8511317183","3","739217.2583516798","723782.9596914296"
"1","234","0.1","8.56","600662.450196913","3","739217.2583516798","723782.9596914296"
"1","237","0.11","1.8399999999999999","597636.093904691","3","739217.2583516798","723782.9596914296"
"1","240","0.62","7.76","469638.7323410011","3","739217.2583516798","723782.9596914296"
"1","243","0.16","7.3100000000000005","538408.6474461274","3","739217.2583516798","723782.9596914296"
"1","246","0.5","3.99","477780.69474034925","3","739217.2583516798","723782.9596914296"
"1","249","0.21","10.39","510939.095232618","3","739217.2583516798","723782.9596914296"
"1","252","0.45","10.28","475871.4768989494","3","739217.2583516798","723782.9596914296"
"1","255","0.07","7.62","666391.3715084589","3","739217.2583516798","723782.9596914296"
"1","258","0.04","1.8","626278.9374371575","3","739217.2583516798","723782.9596914296"
"1","261","0.1","5.2700000000000005","609325.3941912422","3","739217.2583516798","723782.9596914296"
"1","264","0.11","7.04","582501.2021853924","3","739217.2583516798","723782.9596914296"
