"search-number","evaluation","exploration-probability*","exploration-radius*","fitness","num-replicates","best-fitness-so-far","best-fitness-rechecked"
"2","165","0.44802014190890366","1.3276112001220721","8.138614410966234E10","5","8.138614410966234E10","8.079058616619983E10"
"2","170","0.48708323796444647","1.3276112001220721","8.865437175646562E10","5","8.138614410966234E10","8.079058616619983E10"
"2","175","0.44809643701838714","1.3274586099031052","8.743385573243906E10","5","8.138614410966234E10","8.079058616619983E10"
"2","180","0.04957656214236667","10.672388799877927","2.4463057476839767E9","5","2.4463057476839767E9","1.8913861896148922E9"
"2","185","0.04957656214236667","6.327534905012588","1.3624419202579846E9","5","1.3624419202579846E9","2.4580824995376215E9"
"2","190","0.05978484779125658","6.327534905012588","6.316977738813146E9","5","1.3624419202579846E9","2.4580824995376215E9"
"2","195","0.07541008621347371","8.172503242542152","1.6245591883781052E10","5","1.3624419202579846E9","2.4580824995376215E9"
"2","200","0.04957656214236667","5.672465094987412","4.087795094526492E9","5","1.3624419202579846E9","2.4580824995376215E9"
"2","205","0.04415960936903945","6.371480888075074","1.589517671278465E9","5","1.3624419202579846E9","2.4580824995376215E9"
"2","210","0.04959182116426337","6.327534905012588","3.331542425012748E9","5","1.3624419202579846E9","2.4580824995376215E9"
"2","215","0.04957656214236667","6.326771953917754","3.3647464067213335E9","5","1.3624419202579846E9","2.4580824995376215E9"
"2","220","0.049561303120469975","6.327687495231555","2.798996683367513E9","5","1.3624419202579846E9","2.4580824995376215E9"
"2","225","0.04415960936903945","6.444724193179217","9.445016030913521E8","5","9.445016030913521E8","1.5257547326018126E9"
"2","230","0.04415960936903945","6.448844129091325","2.1233737309607697E9","5","9.445016030913521E8","1.5257547326018126E9"
"2","235","0.04415960936903945","6.414663920042726","1.801042415756391E9","5","9.445016030913521E8","1.5257547326018126E9"
"2","240","0.04567025253681239","6.445181963836118","1.7031135544614403E9","5","9.445016030913521E8","1.5257547326018126E9"
"2","245","0.018326085297932403","6.444724193179217","2.5158270186327095E9","5","9.445016030913521E8","1.5257547326018126E9"
"2","250","0.043717097734035246","6.444724193179217","1.344999343567653E9","5","9.445016030913521E8","1.5257547326018126E9"
"2","255","0.043961242084382395","6.444724193179217","1.5874781003575864E9","5","9.445016030913521E8","1.5257547326018126E9"
"2","260","0.04414435034714275","6.444724193179217","1.3806161337511914E9","5","9.445016030913521E8","1.5257547326018126E9"
"2","265","0.04415960936903945","6.445181963836118","1.5764407558772511E9","5","9.445016030913521E8","1.5257547326018126E9"
"2","270","0.04415960936903945","6.453727016098268","1.6836973091014273E9","5","9.445016030913521E8","1.5257547326018126E9"
"2","275","0.04415960936903945","8.055313954375524","9.940615391913354E8","5","9.445016030913521E8","1.5257547326018126E9"
"2","280","0.043717097734035246","5.585336079957274","1.6451057304046888E9","5","9.445016030913521E8","1.5257547326018126E9"
"2","285","0.043717097734035246","6.448844129091325","1.09235569714493E9","5","9.445016030913521E8","1.5257547326018126E9"
"2","290","0.043961242084382395","6.445181963836118","1.9724828098634593E9","5","9.445016030913521E8","1.5257547326018126E9"
"2","295","0.044174868390936144","6.336079957274738","2.5046520034452066E9","5","9.445016030913521E8","1.5257547326018126E9"
"2","300","0.9558403906309606","8.319752803845272","9.632952079298334E10","5","9.445016030913521E8","1.5257547326018126E9"
"3","5","0.4042572671091783","5.794079499504082","8.528998826069975E10","5","8.528998826069975E10","8.565369014338985E10"
"3","10","0.40408941786831465","5.794079499504082","8.587137830604126E10","5","8.528998826069975E10","8.565369014338985E10"
"3","15","0.4042572671091783","5.785992217898833","8.587717674616727E10","5","8.528998826069975E10","8.565369014338985E10"
"3","20","0.4042572671091783","5.595559624628061","8.498224322479312E10","5","8.498224322479312E10","8.539652788565579E10"
"3","25","0.4042572671091783","5.595254444190127","8.506938605184857E10","5","8.498224322479312E10","8.539652788565579E10"
"3","30","0.40408941786831465","5.595559624628061","8.633278387310571E10","5","8.498224322479312E10","8.539652788565579E10"
"3","35","0.404272526131075","5.595559624628061","8.46805889009613E10","5","8.46805889009613E10","8.530512943866599E10"
"3","40","0.39259937438010223","5.596322575722896","8.461734286808084E10","5","8.461734286808084E10","8.57304922129333E10"
"3","45","0.39259937438010223","5.459601739528496","8.460704642668239E10","5","8.460704642668239E10","8.53136432547177E10"
"3","50","0.38864728770885787","1.5403219653620202","8.018048111040895E10","5","8.018048111040895E10","8.387353955839629E10"
"3","55","0.48635080491340504","1.7356374456397345","8.770609382303622E10","5","8.018048111040895E10","8.387353955839629E10"
"3","60","0.3877164873731594","1.5435263599603264","8.426607364947556E10","5","8.018048111040895E10","8.387353955839629E10"
"3","65","0.3869382772564279","1.5401693751430532","8.262635692699529E10","5","8.018048111040895E10","8.387353955839629E10"
"3","70","0.3885709925993744","1.5403219653620202","8.075097412570432E10","5","8.018048111040895E10","8.387353955839629E10"
"3","75","0.38828107118333716","1.0813305867093919","8.225858983061063E10","5","8.018048111040895E10","8.387353955839629E10"
"3","80","0.11178759441519799","1.541084916456855","3.921147929100616E10","5","3.921147929100616E10","3.920112626957585E10"
"3","85","0.1445029373617151","10.458915083543145","5.248839395530005E10","5","3.921147929100616E10","3.920112626957585E10"
"3","90","0.11158922713054094","1.541084916456855","4.053074685480675E10","5","3.921147929100616E10","3.920112626957585E10"
"3","95","0.08053711757076372","1.541084916456855","2.6559819621963486E10","5","2.6559819621963486E10","2.935594220257395E10"
"3","100","0.41945525291828795","1.541084916456855","8.420861913524498E10","5","2.6559819621963486E10","2.935594220257395E10"
"3","105","0.08052185854886702","1.541084916456855","3.1816776953504078E10","5","2.6559819621963486E10","2.935594220257395E10"
