"search-number","evaluation","exploration-probability*","exploration-radius*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"7","429","0.04","10.790000000000001","3","772242.3686307151","10","761375.2432089775"
"7","435","0.04","10.16","3","773782.411754233","10","755954.2974827312"
"7","516","0.03","10.53","3","783850.2121299569","10","777001.084143328"
"8","3","0.97","4.35","3","459271.0429723978","10","460663.0570407972"
"8","6","0.84","6.34","3","465362.47804802423","10","466346.4528813582"
"8","9","0.3","5.33","3","494988.66241674003","10","495758.19306164264"
"8","36","0.18","3.06","3","527660.1607288594","10","522696.469348437"
"8","45","0.05","10.290000000000001","3","724007.4524904598","10","736841.7169244292"
"8","303","0.05","8.370000000000001","3","734302.0693434589","10","732273.886840075"
"8","309","0.05","10.36","3","746776.3790506795","10","732151.9821105354"
"8","408","0.04","5.71","3","762777.3792999553","10","740157.3791192016"
"8","495","0.04","10.790000000000001","3","771268.1125228698","10","761931.9593848884"
"8","534","0.04","9.09","3","777921.3113948706","10","761239.670890408"
"9","3","0.8200000000000001","1.6400000000000001","3","466782.3052201055","10","467718.9397542829"
"9","6","0.68","6.83","3","468685.2361155155","10","469463.59999581735"
"9","9","0.3","7.74","3","495226.95057110983","10","493038.7065498079"
"9","15","0.18","7.96","3","529904.3769653686","10","524233.6560665952"
"9","48","0.16","6.0200000000000005","3","533562.7278151085","10","534451.7873021569"
"9","57","0.04","2.16","3","655775.3604563944","10","678374.8949481351"
"9","141","0.03","10.39","3","767205.0008644415","10","780214.7418700771"
"9","276","0.03","8.64","3","780631.5960581907","10","775757.7666410839"
"9","321","0.03","8.24","3","793590.8023188155","10","768237.5410098439"
"10","3","0.71","8.45","3","467394.4483561294","10","467243.1581767546"
"10","6","0.45","4.32","3","478043.4352557647","10","479566.9738063392"
"10","12","0.32","8.91","3","488443.3232843446","10","488612.43990730616"
"10","18","0.26","3.95","3","499714.9348614717","10","499997.0616815705"
"10","27","0.15","1.58","3","539908.7766580683","10","532152.6975174707"
"10","42","0.07","5.43","3","681137.5829308758","10","663664.1079350302"
"10","480","0.06","6.96","3","692272.4791973535","10","698969.6436911194"
"10","528","0.04","5.42","3","738295.0707745632","10","744765.3512239673"
