"BehaviorSpace results (NetLogo 6.3.0)"
"nl-poseidon.nlogo"
"exploration-prob"
"09/19/2023 19:44:15:636 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","min-mpa-x","exploration-probability","number-of-fishers","hourly-costs","min-mpa-y","diffusion-rate","growth-rate","price-of-fish","max-mpa-x","carrying-capacity","max-mpa-y","catchability","speed","exploration-radius","[step]","mean [ bank-balance ] of fishers"
"85","5","0.17","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","533003.6274118625"
"86","5","0.18","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","520264.5292312588"
"87","5","0.18","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","529413.7982112105"
"88","5","0.18","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","528744.7317598094"
"89","5","0.18","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","528160.8031056639"
"90","5","0.18","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","526030.1437703618"
"91","5","0.19","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","530245.9266585594"
"92","5","0.19","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","520615.20883458055"
"93","5","0.19","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","519707.0603916599"
"94","5","0.19","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","524489.3391905671"
"95","5","0.19","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","529871.3229835526"
"96","5","0.2","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","520547.32870703196"
"97","5","0.2","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","507702.96023128094"
"98","5","0.2","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","518430.23046842474"
"99","5","0.2","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","523391.1280206907"
"100","5","0.2","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","518575.9563594392"
"101","5","0.21","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","518007.9988341577"
"102","5","0.21","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","521163.50298699905"
"103","5","0.21","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","507161.7843881512"
"104","5","0.21","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","513830.24714647344"
"105","5","0.21","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","505114.49655353697"
"106","5","0.22","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","507192.2207969582"
"107","5","0.22","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","507609.5063211941"
"108","5","0.22","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","506280.57703339815"
"109","5","0.22","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","507563.9947632263"
"110","5","0.22","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","506369.38169040164"
"111","5","0.23","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","508949.3690703579"
"112","5","0.23","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","508482.2326199084"
"113","5","0.23","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","502602.06869394996"
"114","5","0.23","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","503662.81688750145"
"115","5","0.23","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","504883.1341665641"
"116","5","0.24","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","501470.6013773176"
"117","5","0.24","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","496174.7767198262"
"118","5","0.24","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","506129.07656861155"
"119","5","0.24","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","502769.8992352782"
"120","5","0.24","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","502476.1101664893"
"121","5","0.25","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","496754.42949474463"
"122","5","0.25","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","505992.4872453792"
"123","5","0.25","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","495706.0542983103"
"124","5","0.25","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","498247.04085494665"
"126","5","0.26","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","494422.8083237032"
"125","5","0.25","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","497252.573788905"
"127","5","0.26","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","496649.7583053897"
"128","5","0.26","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","503882.52897144825"
"129","5","0.26","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","495659.21540372213"
"130","5","0.26","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","499708.18514844106"
"131","5","0.27","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","499267.22980834614"
"133","5","0.27","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","493435.9505114977"
"132","5","0.27","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","493539.1443226818"
"134","5","0.27","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","500983.3646641396"
"135","5","0.27","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","496626.45828337775"
"136","5","0.28","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","500643.27557022515"
"137","5","0.28","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","494680.28550526616"
"138","5","0.28","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","494789.68791167135"
"139","5","0.28","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","493862.37458162406"
"140","5","0.28","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","497859.19023436715"
"141","5","0.29","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","492568.6287472455"
"142","5","0.29","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","490473.5592409888"
"143","5","0.29","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","495490.2482427435"
"145","5","0.29","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","491742.932845505"
"144","5","0.29","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","491621.18399699277"
"146","5","0.3","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","493010.77489086473"
"147","5","0.3","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","492289.7424708674"
"148","5","0.3","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","493340.01365217986"
"149","5","0.3","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","490998.97537743463"
"150","5","0.3","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","489536.8718863135"
"151","5","0.31","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","486887.55046647595"
"152","5","0.31","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","490178.4197115613"
"153","5","0.31","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","485753.34733984334"
"154","5","0.31","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","489259.0704713182"
"155","5","0.31","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","490458.8255100956"
"156","5","0.32","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","486565.31213243766"
"157","5","0.32","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","489116.21298187366"
"158","5","0.32","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","486558.3543445514"
"160","5","0.32","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","489179.97172150406"
"159","5","0.32","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","490538.83063006075"
"161","5","0.33","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","489912.88259639917"
"162","5","0.33","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","483682.1356207068"
"164","5","0.33","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","485390.2095322387"
"163","5","0.33","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","489818.2626847119"
"166","5","0.34","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","487545.4267717714"
"165","5","0.33","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","488365.59045990114"
"167","5","0.34","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","484211.37836406665"
"168","5","0.34","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","487182.7075363333"
"170","5","0.34","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","489084.2324399416"
"169","5","0.34","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","481270.56160759553"
"171","5","0.35","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","485711.33422435983"
"172","5","0.35","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","482710.18479183735"
"173","5","0.35","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","484958.44381349854"
"174","5","0.35","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","483682.436626574"
"176","5","0.36","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","484642.35721168853"
"175","5","0.35","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","488395.9941985604"
"177","5","0.36","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","480122.1995222619"
"178","5","0.36","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","483226.65401905676"
"179","5","0.36","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","10.93","8760","483035.7887966848"
