"search-number","evaluation","min-mpa-x*","max-mpa-x*","min-mpa-y*","max-mpa-y*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"4","752","-5","5","-4","4","2","583591.6524777438","5","522416.0659295508"
"4","848","-5","4","-4","4","2","601483.1741246141","5","564005.6819030689"
"5","2","5","2","-5","2","2","-101043.53132972693","5","-97213.35751453093"
"5","10","-5","2","-3","1","2","274056.33246721275","5","225905.28144702106"
"5","64","-4","4","-5","2","2","472640.5062658378","5","460311.25809249096"
"5","374","-5","4","-3","4","2","498218.817699434","5","472108.87784247985"
"5","414","-4","0","-5","5","2","552947.3078864804","5","637468.0255555589"
"5","418","-4","4","-5","4","2","621870.3509016692","5","564739.3579068186"
"5","488","-4","4","-4","5","2","659208.9891534233","5","509597.8028811074"
"6","2","-1","5","5","-3","2","-133260.3260896486","5","-122052.32873007539"
"6","4","-3","2","3","-1","2","-123974.57044299113","5","-117025.52850558117"
"6","6","-2","5","5","4","2","-120005.5171761713","5","-108792.26239277609"
"6","8","2","-1","4","5","2","-102916.33792898053","5","-95388.30068283077"
"6","10","2","3","-5","2","2","-93003.38299362427","5","-116009.32043298664"
"6","14","2","-1","4","4","2","-78969.04650789298","5","-95769.27529635656"
"6","20","-4","-3","-1","4","2","-41712.731002607456","5","-33497.773364315755"
"6","42","-4","2","0","4","2","41743.09783527916","5","58282.673953415106"
"6","44","-3","2","-1","5","2","261180.7972882283","5","226332.34280420915"
"6","168","-3","3","-3","5","2","341715.9130301126","5","350581.17384380504"
"6","210","-4","4","-1","5","2","373005.2607483015","5","334169.54564417305"
"6","284","-3","3","-3","5","2","402173.1448582844","5","336027.7725949419"
"6","306","-5","4","-3","4","2","439140.4869992994","5","482904.84025919123"
"6","324","-3","3","-5","4","2","453383.26118814875","5","420450.1147160282"
"6","354","-5","3","-4","3","2","537747.3692254997","5","489740.33839500527"
"6","468","-4","4","-4","3","2","558107.1684080512","5","498480.52331034094"
"6","524","-4","3","-5","4","2","588418.7065982448","5","576659.1499708077"
"6","534","-5","3","-4","4","2","624602.4319283161","5","563319.6605801759"
"6","840","-5","4","-4","4","2","643985.1198681673","5","588115.1868582407"
"7","2","4","5","-3","1","2","-73759.26241626168","5","-110391.22572486335"
"7","4","-4","5","-3","2","2","350723.06666452496","5","278574.8711178133"
"7","82","-3","2","-5","4","2","454071.57327882387","5","357437.8111895646"
"7","140","-4","2","-5","5","2","584227.9543930604","5","217348.43510692837"
"7","572","-4","2","-5","4","2","617401.7610393702","5","541259.4050064659"
"7","582","-4","2","-5","4","2","621180.7174324291","5","545752.4742401624"
"7","606","-4","3","-5","4","2","626243.406775564","5","500624.53790092317"
"8","2","-4","4","-1","1","2","-62029.02153794817","5","-61807.146345559646"
"8","8","-5","0","-5","2","2","319417.4173078097","5","225565.76901656072"
"8","186","-4","4","-5","1","2","386694.42012117006","5","390843.10231354774"
"8","396","-4","2","-5","2","2","389460.3111452926","5","352187.00339718245"
"8","434","-5","2","-4","2","2","408284.44503054844","5","415391.8369541248"
"8","458","-4","2","-5","4","2","508080.6990117667","5","488854.93182332907"
"8","588","-4","4","-5","4","2","563250.2514873818","5","526288.7854219697"
"8","676","-4","2","-5","4","2","586565.6883158037","5","616395.9363987598"
"8","710","-4","4","-5","4","2","634037.4571674324","5","523963.7358438919"
"9","2","-5","-5","-1","2","2","-87914.62997614624","5","-90435.83620989097"
"9","6","-3","4","3","-1","2","-80606.95910045746","5","-107503.35697821621"
"9","10","2","-3","1","4","2","-75661.03189382266","5","-96194.05021583753"
"9","30","-4","0","-5","-3","2","48076.14282081956","5","39324.018310426036"
"9","36","-5","4","-5","4","2","251263.95310788558","5","242317.31705298912"
"9","118","-3","2","-3","5","2","286303.8491315292","5","399837.5851570168"
"9","170","-2","4","-5","4","2","306970.5265844982","5","333471.60187271785"
"9","174","-5","4","-4","4","2","590244.5710677662","5","491244.9369372336"
"9","306","-4","3","-4","5","2","654923.5479966474","5","611160.3020822627"
"9","340","-4","2","-5","4","2","673556.7050568414","5","518644.18579724926"
"10","2","3","4","-4","-3","2","-118196.9324149967","5","-125967.44618681709"
"10","4","-1","3","-5","2","2","105583.14083104403","5","103908.44352977678"
"10","24","-5","4","0","4","2","184617.23970410664","5","183364.8604354462"
"10","36","-4","-1","-5","0","2","192607.62886979105","5","202992.2154891694"
"10","114","-4","5","-4","4","2","575028.6848477428","5","446386.4460729322"
"10","542","-5","5","-4","2","2","610141.9079129528","5","506855.97026448173"
"10","582","-5","4","-4","4","2","633403.98917941","5","590335.7856864806"
"10","702","-5","4","-4","4","2","636309.1299125501","5","555867.4701419261"
