"BehaviorSpace results (NetLogo 6.3.0)"
"nl-poseidon.nlogo"
"exploration-radius"
"09/19/2023 19:48:49:976 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","min-mpa-x","exploration-probability","number-of-fishers","hourly-costs","min-mpa-y","diffusion-rate","growth-rate","price-of-fish","max-mpa-x","carrying-capacity","max-mpa-y","catchability","speed","exploration-radius","[step]","mean [ bank-balance ] of fishers"
"93","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.8","8760","749578.9085550586"
"92","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.8","8760","695177.0485841717"
"94","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.8","8760","657781.8681206665"
"95","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.8","8760","729563.5297945413"
"96","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.9","8760","737410.3776739036"
"97","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.9","8760","665377.1979174912"
"98","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.9","8760","755495.6877082661"
"99","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.9","8760","762906.9490403963"
"101","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3","8760","724779.6106875285"
"100","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","2.9","8760","694457.8743124537"
"102","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3","8760","734142.9279043499"
"103","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3","8760","637591.8690147662"
"104","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3","8760","651109.4352499781"
"105","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3","8760","682476.3051848714"
"106","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.1","8760","741124.0161617972"
"108","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.1","8760","699970.8528192622"
"107","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.1","8760","761342.5806745718"
"109","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.1","8760","701776.5102231178"
"110","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.1","8760","715132.6902425226"
"112","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.2","8760","701584.5342724407"
"111","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.2","8760","672144.5941303761"
"113","5","0.03","25","50","-5","0.002","0.1","80","0","4000","5","0.2","0.5","3.2","8760","687015.9209157757"
